AA制	ei˥ ei˥ ʦɐi˧
㒔	sʊk̚˨
㒕	ʦœːŋ˥
㒖	ŋaːu˩˧
㒗	tʰɔːi˨˩
㒙	miːn˨˩
㒚	waːn˧˥
㒛	tɵy˧˥
㒜	ʦyː˩˧
㒝	miːt̚˨
㒞	ʦɵn˧
㒟	niːu˩˧
㒠	haːi˨
㒡	ʦaːu˨˩
㒤	siːp̚˧
㒥	fʊŋ˥
㒦	tɵy˧
㒧	lɐi˨
㒨	siːn˥
㒩	lɔː˧˥
㒪	sɛːk̚˧
㒫	kei˧
㒭	kʷʰaːn˥
㒰	ʦʰyːn˨˩
㒲	ʦʰɔːi˨˩
㒳	lœːŋ˩˧
㒴	kʷɐt̚˥
㒵	mɐu˨
㒶	kʊŋ˥
㒷	hɪŋ˧˥
㒸	sɵy˨
㒹	tiːn˥
㒻	mou˨
㒼	mɐŋ˨˩
㒽	hyːn˥
㒾	siː˨
㒿	lei˨˩
㓁	mɔːŋ˩˧
㓃	tou˧
㓅	tɪŋ˥
㓈	pɪŋ˥
㓉	kʷaːt̚˧
㓊	tʊŋ˨
㓋	kʊŋ˨
㓌	ʦʰɐŋ˥
㓎	ʦʰaːm˥
㓏	kʷɪŋ˧˥
㓐	lʊk̚˨
㓑	haːŋ˨
㓓	lɐm˩˧
㓔	ʦɛː˨
㓖	piːt̚˥
㓗	kiːt̚˧
㓘	sʊk̚˥
㓙	hʊŋ˥
㓚	kɵy˨
㓛	kʊŋ˥
㓜	ʦaːu˧
㓝	ʦɪŋ˨˩
㓞	kʰaːi˧
㓟	pʰɐi˥
㓟皮	pʰɐi˥ pʰei˨˩
㓟苹果	pʰɐi˥ pʰɪŋ˨˩ kʷɔː˧˥
㓟菠萝皮	pʰɐi˥ pɔː˥ lɔː˨˩ pʰei˨˩
㓟菠蘿皮	pʰɐi˥ pɔː˥ lɔː˨˩ pʰei˨˩
㓟蘋果	pʰɐi˥ pʰɪŋ˨˩ kʷɔː˧˥
㓟鉛筆	pʰɐi˥ jyːn˨˩ pɐt̚˥
㓟铅笔	pʰɐi˥ jyːn˨˩ pɐt̚˥
㓠	tiːm˧
㓡	fuː˧˥
㓢	lɔːk̚˧
㓣	kɔːt̚˧
㓤	kɐt̚˥
㓤亲	kɐt̚˥ tsʰɐn˥
㓤亲手	kɐt̚˥ tsʰɐn˥ sɐu˧˥
㓤穿	kɐt̚˥ tsʰyːn˥
㓤親	kɐt̚˥ tsʰɐn˥
㓤親手	kɐt̚˥ tsʰɐn˥ sɐu˧˥
㓥	tʰɔːŋ˥
㓥光猪	tʰɔːŋ˥ kʷɔːŋ˥ ʦyː˥
㓥开	tʰɔːŋ˥ hɔːi˥
㓥房	tʰɔːŋ˥ fɔːŋ˧˥
㓥死牛	tʰɔːŋ˥ sei˧˥ ŋɐu˨˩
㓥猪	tʰɔːŋ˥ ʦyː˥
㓥猪啖嗌	tʰɔːŋ˥ ʦyː˥ kɐm˧˥ ŋaːi˧
㓥白鹤	tʰɔːŋ˥ paːk̚˨ hɔːk̚˨
㓥西瓜	tʰɔːŋ˥ sɐi˥ kʷaː˥
㓥车	tʰɔːŋ˥ ʦʰɛː˥
㓥鱼	tʰɔːŋ˥ jyː˧˥
㓥鸡	tʰɔːŋ˥ kɐi˥
㓦	pɐk̚˧
㓧	tɵy˥
㓨	tsʰiː˧
㓩	fɐn˧
㓪	lɔːŋ˩˧
㓬	fuː˥
㓭	hɔːt̚˧
㓮	tiːu˥
㓯	lei˨˩
㓰	waːk̚˨
㓱	syː˥
㓲	pʰiːn˧
㓳	tɐi˥
㓴	ʦyːn˩˧
㓵	ŋɔːk̚˨
㓶	kʰiːt̚˧
㓷	nɐu˨˩
㓸	ʦʰœːk̚˧
㓹	ʦɵy˨
㓺	kiːn˥
㓻	kɔːŋ˥
㓽	sʊŋ˨˩
㓾	sɐi˥
㔀	kʰɪŋ˨˩
㔁	taːŋ˥
㔂	lɵn˨˩
㔃	ʦyːt̚˨
㔄	sʊk̚˥
㔅	siːu˧
㔆	ʦʰaːm˩˧
㔇	pʰuːt̚˧
㔉	ʦʰʊŋ˧˥
㔊	tʰɐn˧˥
㔌	sei˧
㔍	ʦʰɐp̚˧
㔎	siːt̚˧
㔏	kɐk̚˧
㔐	ʦʰiːm˥
㔒	kʷʰɐi˨˩
㔓	kiːn˧˥
㔕	kaːt̚˥
㔗	pei˨
㔘	ʦɵt̚˥
㔙	pʰɪŋ˥
㔚	aːu˧˥
㔜	puːt̚˨
㔝	lœːŋ˩˧
㔞	fɐi˧
㔠	hɐt̚˨
㔡	piːt̚˧
㔢	waːi˨˩
㔣	lɵy˨˩
㔤	saːm˧˥
㔥	paːi˨
㔦	ʦœːŋ˩˧
㔧	lɵy˨
㔨	puːi˧
㔩	aːp̚˨
㔪	lou˩˧
㔬	ʦʰœːk̚˧
㔭	ʦʰiː˨˩
㔯	syːn˧
㔰	hɐŋ˨˩
㔱	ʦyː˩˧
㔳	kei˧˥
㔴	ʦɪk̚˨
㔵	syːn˧˥
㔶	kaːm˧˥
㔷	lɐu˨
㔸	ʦʰɐm˧˥
㔹	lɐk̚˨
㔺	saːi˧
㔻	pʰei˥
㔼	sɵn˧˥
㔽	ʦaːu˩˧
㔾	ʦiːt̚˧
㔿	ʦɐu˧
㕁	kʰœːk̚˧
㕂	ʦaːm˨˩
㕃	hiːm˧
㕄	ʦiː˧
㕅	kaːp̚˧
㕆	uː˨
㕇	lɐp̚˧
㕈	ɐt̚˧
㕊	pou˥
㕋	kʰɐm˨˩
㕌	ŋɔːi˨
㕍	tɵy˥
㕏	ʦʰyː˨˩
㕐	sɛː˧˥
㕒	faːi˥
㕔	tʰɛːŋ˥
㕕	nɐp̚˨
㕖	sou˧
㕗	ʦaːu˩˧
㕙	ʦɵn˧
㕚	ʦaːu˧˥
㕛	ʦaːu˩˧
㕜	sei˧
㕞	ʦʰaːt̚˧
㕟	wɐi˧˥
㕠	sœːŋ˥
㕡	hɐŋ˥
㕣	ʦiːn˧˥
㕤	kʷaːi˧˥
㕦	waː˨
㕧	siː˥
㕨	faːn˨
㕩	ʦœːŋ˧
㕪	tɐm˧˥
㕫	fɔːŋ˧˥
㕬	kʊŋ˥
㕭	ɐu˧
㕮	fuː˧˥
㕯	nɵt̚˨
㕰	hʊk̚˨
㕱	ʦaːu˨˩
㕲	mʊk̚˥
㕳	hʊŋ˥
㕴	ʦʰaːm˨˩
㕵	kʷɔːk̚˧
㕶	ŋ˨
㕷	pʰɐk̚˥
㕸	lɐi˨
㕹	fɐt̚˨
㕺	hiːu˥
㕻	faːu˧˥
㕼	tʊŋ˨
㕽	ʦʰɛːk̚˧
㖀	laːk̚˨
㖁	lɵn˨
㖂	ʦaːi˨
㖃	haːm˥
㖄	ʦaːu˥
㖅	sɵt̚˥
㖆	kʰʊk̚˥
㖇	mei˥
㖊	ʦʰɐm˨˩
㖊日	ʦʰɐm˨˩ jɐt̚˨
㖏	niːp̚˨
㖐	tɔː˨
㖑	hɐi˨
㖒	tʰɐi˨˩
㖓	hʊŋ˨˩
㖔	tʰaːn˥
㖕	ʦiːp̚˨
㖖	saːn˥
㖗	ʦaːm˨˩
㖘	sɐn˧˥
㖞	waː˥
㖟	sɐu˨
㖠	nɐp̚˨
㖡	ɛː˨
㖢	ʦʰiː˥
㖣	pou˨˩
㖤	haːm˨˩
㖥	kʷʰaːn˧
㖦	tʊŋ˧˥
㖧	faːn˥
㖨	lʊk̚˨
㖩	ʦaːu˥
㖪	kʷɔːk̚˧
㖫	lɪŋ˨˩
㖭	tʰiːm˥
㖶	ʦiːn˥
㖷	tʰaːi˨˩
㖸	kʰœːk̚˨
㖹	fuː˧˥
㖺	ʦʰɵn˧˥
㖻	ʦaːu˨˩
㖼	mɐu˨˩
㖽	ʦaːk̚˧
㖾	ŋɔːk̚˨
㖿	ʦʰɛː˨˩
㗀	ʦaːu˥
㗁	ŋɔːk̚˨
㗂	saːŋ˧˥
㗃	maːn˨˩
㗄	mɐn˨˩
㗅	uː˨˩
㗆	kaːk̚˧
㗇	kaː˩˧
㗈	maːn˨
㗉	lœːk̚˨
㗊	lɵy˨˩
㗋	hɐu˨˩
㗌	ʦaːt̚˨
㗎	kaː˧
㗎仔	kaː˨˩ ʦɐi˧˥
㗎佬	kaː˨˩ lou˧˥
㗎咋	kaː˧ ʦaː˧
㗎啦	kaː˧ laː˨˩
㗎喇	kaː˧ laː˧
㗎头	kaː˨˩ tʰɐu˨˩
㗎妹	kaː˨˩ muːi˥
㗎文	kaː˨˩ mɐn˨˩
㗎話	kaː˨˩ waː˧˥
㗎话	kaː˨˩ waː˧˥
㗎頭	kaː˨˩ tʰɐu˨˩
㗑	pɐi˨
㗒	ɔːi˧˥
㗓	ʦʰiː˧
㗔	hiːn˥
㗕	kaːu˧
㗖	taːm˨
㗗	pɐi˧˥
㗘	pɔːk̚˧
㗙	ʦaːu˥
㗚	lei˨
㗛	siːu˧
㗜	ʦʰɐu˧
㗢	hʊŋ˥
㗣	taːi˧
㗤	ʦʰʊk̚˥
㗥	kʷʰɔːk̚˧
㗦	lou˨˩
㗧	ʦaːt̚˨
㗨	aːi˧˥
㗩	ʦʰiː˥
㗫	ʦʰaːi˧
㗬	ʦaː˥
㗭	hei˥
㗰	ʦʰʊŋ˨˩
㗱	ʦɐp̚˨
㗳	tɐp̚˥
㗴	ʦiːn˨˩
㗵	fɐt̚˥
㗶	pʰuːt̚˧
㗷	ʦʰɔːi˧
㗻	kɔː˨
㗼	ʦiːp̚˨
㗽	hœːŋ˥
㗾	hɵy˥
㗾一啖气	hɛːu˥ jɐt̚˥ taːm˨ hei˧
㗾一啖氣	hɛːu˥ jɐt̚˥ taːm˨ hei˧
㗿	laː˨˩
㘀	ʦɔːk̚˧
㘁	ʦɪk̚˨
㘂	ʦʰiː˨˩
㘅	haːm˨˩
㘆	tʰɔːi˨˩
㘇	wɪŋ˨˩
㘈	ʦiː˨˩
㘊	ʦʰaːu˧
㘋	ʦiːn˨˩
㘌	kʰɛːk̚˨
㘍	ʦɪk̚˥
㘎	hɐm˧
㘐	ʦʰiːt̚˧
㘑	lɐi˨
㘓	laːn˨˩
㘕	hɐm˧
㘖	ŋɐn˨˩
㘙	kɐu˥
㘛	haːm˥
㘜	ʦʰaːu˥
㘝	niːm˧˥
㘞	tɵt̚˥
㘠	paːi˧
㘡	haːp̚˨
㘣	ʦyːn˨˩
㘤	waːn˥
㘥	ʦaːu˨˩
㘦	kʰɐn˨˩
㘧	ʦɵy˨
㘨	niːp̚˨
㘩	pei˨
㘪	hou˧
㘫	ʦɪŋ˨
㘬	ɐu˥
㘰	ʦɐm˥
㘱	tʰaːn˥
㘲	kʊk̚˥
㘳	ʦaːu˥
㘴	ʦɔː˨
㘵	pou˧
㘶	kiːt̚˨
㘷	ŋɐi˨
㘸	ʦɔːŋ˧
㘹	ʦʰiː˨˩
㘺	fɐt̚˨
㘻	ʦaːn˥
㘿	niːp̚˨
㙀	lɐu˨
㙁	mʊk̚˨
㙂	tɵy˧
㙃	pɔːŋ˥
㙄	pɐi˨
㙅	pou˧˥
㙇	ʦʰʊk̚˥
㙈	laː˨˩
㙉	tiːn˨
㙊	ʦʰœːŋ˨˩
㙍	tɔː˥
㙎	wɐi˥
㙏	fʊk̚˥
㙐	tɵy˧˥
㙑	ʦyː˩˧
㙒	ʦɛː˩˧
㙔	hɔːn˨˩
㙕	faːi˧
㙗	fɐi˧
㙘	ʦiːu˥
㙙	lʊŋ˩˧
㙚	sɪŋ˥
㙛	pou˧˥
㙜	ʦʰiː˨˩
㙝	hiːp̚˧
㙞	niːp̚˨
㙟	lɔːŋ˩˧
㙠	aːi˧
㙡	ʦʊŋ˥
㙢	mɐn˨
㙣	ʦœːŋ˧
㙤	laː˧
㙥	kʷaːn˧˥
㙨	kei˥
㙩	laːu˨
㙪	ʦiː˧
㙫	ʦɐp̚˨
㙬	ŋaːn˨˩
㙮	tʰaːp̚˧
㙯	ŋaːi˨
㙰	hɐi˨
㙱	hou˨
㙲	ʦʊŋ˥
㙳	hɐm˧˥
㙴	ʦʰiːm˥
㙵	tʰɔːi˨˩
㙶	tʰɔːŋ˨˩
㙷	ʦɪk̚˨
㙸	pʊk̚˨
㙹	mʊŋ˨˩
㙺	kʷaːi˨
㙻	ʦʰiːn˨˩
㙼	lɵy˩˧
㙾	hɔːk̚˨
㚀	hei˥
㚁	kʰiːu˨˩
㚂	ʦœːŋ˨˩
㚃	wɐn˥
㚅	lʊŋ˨˩
㚆	fʊk̚˨
㚇	ʦʊk̚˥
㚉	kuː˧˥
㚊	hɔːi˥
㚋	tiːu˥
㚌	fɔː˧˥
㚍	fɐi˧
㚏	kou˧˥
㚐	tʰou˧
㚒	siːm˧˥
㚓	lɔːi˨˩
㚔	niːp̚˨
㚕	faːt̚˥
㚖	kou˧˥
㚗	ʦʰɛː˨˩
㚘	puːn˨
㚙	kaː˥
㚜	wɪk̚˨
㚝	fuːi˥
㚠	hiːu˥
㚢	nou˨˩
㚣	kaːu˧˥
㚤	ʦɪk̚˨
㚥	ʦyː˥
㚦	kei˥
㚧	ŋɐm˨˩
㚩	ʦiːm˩˧
㚪	hou˧
㚫	saːp̚˧
㚬	kʷɐn˥
㚭	ʦaːu˨˩
㚮	taːm˥
㚯	ʦʰaːm˨˩
㚰	pʰuːi˥
㚱	ʦaːu˥
㚲	siːm˥
㚳	ɔː˥
㚴	pou˧
㚵	tʊŋ˥
㚶	ʦʰiː˩˧
㚷	nɐi˩˧
㚸	siː˥
㚹	mɐu˩˧
㚺	ʦaːn˨
㚻	kei˥
㚼	naːu˧˥
㚽	haːu˧˥
㚿	pʰɐu˨˩
㛀	ʦʰɔː˨˩
㛁	pʰɪŋ˥
㛃	kiːt̚˧
㛄	ʦiː˥
㛅	nei˨
㛆	tɔː˧˥
㛊	tɔː˧˥
㛍	hɐp̚˨
㛎	lɵy˩˧
㛏	kʰɐu˨˩
㛐	sou˧˥
㛑	ʦʰaːn˧
㛒	taːu˧˥
㛓	ʦʰiː˥
㛔	fʊŋ˥
㛕	ʦaːp̚˥
㛖	sɔː˥
㛗	sɔː˥
㛘	puːt̚˨
㛙	sɐn˥
㛚	tʰʊŋ˧˥
㛛	saːn˥
㛜	ʦaːu˨˩
㛞	lʊŋ˨
㛣	wɐn˨˩
㛤	lei˨˩
㛥	tɐp̚˨
㛦	lɐm˩˧
㛧	muːn˩˧
㛨	kœːŋ˧˥
㛩	ʦʊk̚˨
㛪	aːm˥
㛫	sɛːk̚˧
㛬	lʊk̚˨
㛭	sɪk̚˥
㛮	sou˧˥
㛯	miːn˩˧
㛰	fɐn˥
㛱	uːi˧˥
㛲	faːt̚˧
㛳	ʦaːi˨
㛴	nou˩˧
㛵	ʦʰɪŋ˥
㛶	tʰaːn˧
㛷	kɐi˥
㛸	syː˨
㛹	pʰiːn˨˩
㛺	aːm˥
㛻	kʷʰaːi˧˥
㛼	ʦʰɐp̚˧
㛽	saːn˥
㛾	haːm˨˩
㛿	ʦaːi˨
㜂	fʊŋ˥
㜃	lyːn˧˥
㜅	ʦʰʊk̚˥
㜆	maːi˨˩
㜇	waːi˨
㜈	mʊk̚˨
㜉	ʦʊŋ˥
㜊	nɐn˩˧
㜋	ʦiː˨˩
㜌	kaːu˧
㜍	tʰɔːŋ˨˩
㜎	haːi˨˩
㜏	wɐn˨˩
㜑	pʰɐk̚˧
㜒	ŋaːi˨
㜓	taːp̚˧
㜕	liːn˨˩
㜖	ʦʰou˨˩
㜘	kɵy˨
㜙	lʊk̚˨
㜚	sʊk̚˥
㜛	ʦyːn˩˧
㜜	ŋou˨
㜝	ɐn˧˥
㜞	ʦʰɐm˨˩
㜠	ʦʰɵy˥
㜡	sʊŋ˥
㜣	ʦiːn˨˩
㜤	saːm˧˥
㜥	maːi˨˩
㜦	ʦʰɐm˨˩
㜧	kʰyːt̚˧
㜩	ou˧
㜪	saːn˥
㜫	mei˩˧
㜮	laːm˨
㜯	hei˥
㜰	ʦœːk̚˨
㜱	ʦɐt̚˥
㜲	ʦɪŋ˨˩
㜳	kʷaːi˥
㜴	mʊŋ˨
㜵	niːu˩˧
㜶	mɐn˩˧
㜸	ʦiːp̚˨
㜹	kʰɵy˨˩
㜺	ʦaːn˧˥
㜺嘢	ʦaːn˧˥ jɛː˩˧
㜺鬼	ʦaːn˧˥ kʷɐi˧˥
㜻	lyːn˧˥
㜼	tiːp̚˨
㜽	taːi˧˥
㜾	haːi˨˩
㜿	ʦɵy˨
㝀	hou˧
㝁	kʰɪŋ˨˩
㝂	ʦʰaːm˨˩
㝃	hei˥
㝄	sɵn˨˩
㝅	kaːu˧
㝇	sɵn˨˩
㝈	lyːn˨˩
㝉	ʦʰyː˩˧
㝊	sɐu˧˥
㝋	liːu˩˧
㝌	kɐu˧
㝍	sɛː˧˥
㝎	tɪŋ˨
㝏	kaːi˧
㝐	ʦʊŋ˧˥
㝑	pʰɔːŋ˨˩
㝒	kɵy˥
㝓	kaːp̚˧
㝔	ʦiːu˧
㝕	fɐi˧
㝖	ʦiː˨˩
㝗	kɔːŋ˥
㝘	ʦʊŋ˨˩
㝙	ʦaːn˨˩
㝜	sɪk̚˥
㝝	lɐm˨˩
㝞	aː˥
㝟	mou˨
㝡	ʦɵy˧
㝢	ʦyː˩˧
㝤	kɐu˧
㝥	maːi˩˧
㝦	ʦɵn˧
㝧	wɐn˧˥
㝩	hɔːi˥
㝪	tiːm˧
㝫	lʊŋ˨˩
㝭	sɪŋ˧˥
㝯	kʰiːu˨˩
㝰	maːn˩˧
㝱	mʊŋ˨
㝲	ʦʰɐm˧˥
㝴	ʦyːn˨˩
㝵	taːk̚˥
㝶	tɐk̚˥
㝸	pɛːŋ˧˥
㝺	liːm˨˩
㝻	kɐn˧˥
㝼	ʦyː˥
㝽	ʦʰɐi˥
㝾	ʦɔː˧˥
㝿	pɔː˧˥
㞀	fuːi˥
㞁	ʦiːu˨
㞂	tʰɵy˧˥
㞃	kɪk̚˨
㞄	aːm˥
㞅	kʷɔː˧˥
㞆	kei˥
㞇	waːi˧˥
㞈	puːi˨
㞉	ʦaːt̚˧
㞊	sɵt̚˥
㞋	niːn˧˥
㞌	lɐi˥
㞎	paː˧˥
㞏	ʦaːt̚˨
㞐	kɵy˥
㞑	mei˩˧
㞒	aːi˧
㞓	hɐi˥
㞔	iː˨˩
㞕	ŋaːt̚˨
㞖	ʦʰiː˥
㞗	kɐu˥
㞘	tʊk̚˥
